"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17, 2018","14.592","14.592","14.592","14.592","-","-0.26%"
"Oct 16, 2018","14.630","14.630","14.630","14.630","0.07K","-0.18%"
"Oct 15, 2018","14.656","14.665","14.665","14.665","0.00K","0.63%"
"Oct 12, 2018","14.564","14.564","14.564","14.564","0.04K","0.20%"
"Oct 11, 2018","14.535","14.260","14.565","14.230","0.01K","1.96%"
"Oct 10, 2018","14.255","14.260","14.260","14.260","0.00K","-0.52%"
"Oct 09, 2018","14.329","14.329","14.329","14.329","-","0.49%"
"Oct 08, 2018","14.259","14.215","14.240","14.215","0.00K","-2.13%"
"Oct 05, 2018","14.569","14.569","14.569","14.569","-","0.41%"
"Oct 04, 2018","14.510","14.510","14.510","14.510","-","-0.55%"
"Oct 03, 2018","14.590","14.735","14.735","14.660","0.02K","-0.14%"
"Oct 02, 2018","14.610","14.420","14.740","14.420","0.06K","1.30%"
"Oct 01, 2018","14.422","14.350","14.350","14.350","0.08K","-1.37%"
"Sep 28, 2018","14.623","14.180","14.555","14.180","0.05K","2.97%"
"Sep 27, 2018","14.201","14.320","14.385","14.120","0.14K","-0.73%"
"Sep 26, 2018","14.305","14.330","14.330","14.330","0.02K","-0.65%"
"Sep 25, 2018","14.398","14.420","14.440","14.420","0.02K","1.03%"
"Sep 24, 2018","14.251","14.250","14.320","14.205","0.03K","-0.13%"
"Sep 21, 2018","14.269","14.265","14.265","14.260","0.01K","0.38%"
"Sep 20, 2018","14.215","14.190","14.245","14.190","0.51K","0.18%"
"Sep 19, 2018","14.189","14.210","14.215","14.210","0.46K","0.75%"
"Sep 18, 2018","14.084","14.115","14.115","14.060","0.93K","-0.27%"
"Sep 17, 2018","14.122","13.980","14.130","13.980","0.03K","0.57%"
"Sep 14, 2018","14.042","14.110","14.175","14.030","0.06K","-0.71%"
"Sep 13, 2018","14.143","14.135","14.255","14.135","0.08K","-0.35%"
"Sep 12, 2018","14.192","14.065","14.190","14.005","0.06K","1.00%"
"Sep 11, 2018","14.052","14.110","14.110","13.910","0.10K","-0.19%"
"Sep 10, 2018","14.079","14.040","14.145","14.040","0.07K","0.09%"
"Sep 07, 2018","14.067","14.095","14.140","14.040","0.13K","-0.06%"
"Sep 06, 2018","14.075","14.130","14.225","14.050","0.19K","-0.30%"
"Sep 05, 2018","14.118","14.085","14.165","14.050","0.24K","0.41%"
"Sep 04, 2018","14.061","14.450","14.450","13.960","0.75K","-2.61%"
"Aug 31, 2018","14.438","14.485","14.650","14.425","0.61K","-0.27%"
"Aug 30, 2018","14.477","14.685","14.710","14.430","15.96K","-1.44%"
"Aug 29, 2018","14.688","14.688","14.688","14.688","-","-0.53%"
"Aug 28, 2018","14.767","14.820","14.820","14.820","0.00K","-0.52%"
"Aug 27, 2018","14.844","14.844","14.844","14.844","-","0.44%"
"Aug 24, 2018","14.779","14.470","14.820","14.470","0.04K","1.73%"
"Aug 23, 2018","14.527","14.625","14.625","14.485","0.00K","-1.41%"
"Aug 22, 2018","14.735","14.700","14.700","14.700","0.00K","-0.11%"
"Aug 21, 2018","14.751","14.751","14.751","14.751","-","0.66%"
"Aug 20, 2018","14.655","14.700","14.700","14.630","0.02K","0.27%"
"Aug 17, 2018","14.616","14.625","14.750","14.595","0.02K","-0.55%"
"Aug 16, 2018","14.697","14.660","14.710","14.635","0.14K","1.91%"
